Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
97, West Ham,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
98, Wolfsburg,de Bundesliga,22,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
1, Almería,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2, Arsenal,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3, Aston Villa,eng Premier League,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4, Atalanta,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5, Athletic Club,es La Liga,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6, Atlético Madrid,es La Liga,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7, Auxerre,fr Ligue 1,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8, Barcelona,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9, Bari,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10, Bayern Munich,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11, Birmingham City,eng Premier League,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
12, Blackburn,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
13, Bochum,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
14, Bologna,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
15, Bolton,eng Premier League,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
16, Bordeaux,fr Ligue 1,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
17, Boulogne,fr Ligue 1,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
18, Burnley,eng Premier League,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
19, Cagliari,it Serie A,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
20, Catania,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
21, Chelsea,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
22, Chievo,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
23, Dortmund,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
24, Eint Frankfurt,de Bundesliga,30,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
25, Espanyol,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
26, Everton,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
27, Fiorentina,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
28, Freiburg,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
29, Fulham,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
30, Genoa,it Serie A,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
31, Getafe,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
32, Grenoble,fr Ligue 1,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
33, Hamburger SV,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
34, Hannover 96,de Bundesliga,32,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
35, Hertha BSC,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
36, Hoffenheim,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
37, Hull City,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
38, Inter,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
39, Juventus,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
40, Köln,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
41, La Coruña,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
42, Lazio,it Serie A,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
43, Le Mans,fr Ligue 1,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
44, Lens,fr Ligue 1,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
45, Leverkusen,de Bundesliga,24,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
46, Lille,fr Ligue 1,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
47, Liverpool,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
48, Livorno,it Serie A,36,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
49, Lorient,fr Ligue 1,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
50, Lyon,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
51, M'Gladbach,de Bundesliga,24,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
52, Mainz 05,de Bundesliga,29,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
53, Málaga,es La Liga,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
54, Mallorca,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
55, Manchester City,eng Premier League,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
56, Manchester Utd,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
57, Marseille,fr Ligue 1,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
58, Milan,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
59, Monaco,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
60, Montpellier,fr Ligue 1,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
61, Nancy,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
62, Napoli,it Serie A,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
63, Nice,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
64, Nürnberg,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
65, Osasuna,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
66, Palermo,it Serie A,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
67, Paris S-G,fr Ligue 1,22,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
68, Parma,it Serie A,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
69, Portsmouth,eng Premier League,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
70, Racing Sant,es La Liga,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
71, Real Madrid,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
72, Rennes,fr Ligue 1,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
73, Roma,it Serie A,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
74, Saint-Étienne,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
75, Sampdoria,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
76, Schalke 04,de Bundesliga,29,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
77, Sevilla,es La Liga,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
78, Siena,it Serie A,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
79, Sochaux,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
80, Sporting Gijón,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
81, Stoke City,eng Premier League,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
82, Stuttgart,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
83, Sunderland,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
84, Tenerife,es La Liga,22,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
85, Tottenham,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
86, Toulouse,fr Ligue 1,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
87, Udinese,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
88, Valencia,es La Liga,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
89, Valenciennes,fr Ligue 1,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
90, Valladolid,es La Liga,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
91, Villarreal,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
92, Werder Bremen,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
93, West Ham,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
94, Wigan Athletic,eng Premier League,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
95, Wolfsburg,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
96, Wolves,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
97, Xerez,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
98, Zaragoza,es La Liga,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
1, Ajaccio,fr Ligue 1,36,38.0,637,382,321,236,80,313,693,45.2,380,359,85,274,420,1057,670,10
2, Almería,es La Liga,29,38.0,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13
3, Angers,fr Ligue 1,33,38.0,652,386,311,268,73,310,610,50.8,300,402,99,303,375,1027,605,13
4, Arsenal,eng Premier League,26,38.0,568,343,238,212,118,249,509,48.9,260,362,86,276,237,805,599,23
5, Aston Villa,eng Premier League,26,38.0,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,14
6, Atalanta,it Serie A,27,38.0,636,364,291,272,73,312,634,49.2,322,455,93,362,421,1057,613,12
7, Athletic Club,es La Liga,26,38.0,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14
8, Atlético Madrid,es La Liga,27,38.0,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9
9, Augsburg,de Bundesliga,34,34.0,522,299,251,202,69,232,479,48.4,247,429,126,303,286,808,755,14
10, Auxerre,fr Ligue 1,33,38.0,674,378,337,263,74,313,678,46.2,365,441,118,323,454,1128,782,11
11, Barcelona,es La Liga,29,38.0,522,324,211,216,95,227,496,45.8,269,353,82,271,253,775,439,17
12, Bayern Munich,de Bundesliga,28,34.0,623,387,263,258,102,287,538,53.3,251,381,77,304,287,910,477,19
13, Betis,es La Liga,30,38.0,665,421,373,238,54,338,701,48.2,363,411,112,299,364,1029,857,7
14, Bochum,de Bundesliga,26,34.0,626,386,301,247,78,310,635,48.8,325,402,118,284,337,963,776,13
15, Bologna,it Serie A,27,38.0,648,373,310,255,83,297,618,48.1,321,414,131,283,302,950,652,7
16, Bournemouth,eng Premier League,31,38.0,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,11
17, Brentford,eng Premier League,25,38.0,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,14
18, Brest,fr Ligue 1,29,38.0,705,417,348,289,68,356,740,48.1,384,435,115,320,475,1180,686,13
19, Brighton,eng Premier League,29,38.0,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15
20, Cádiz,es La Liga,38,38.0,623,410,358,205,60,320,671,47.7,351,425,128,297,270,893,853,13
21, Celta Vigo,es La Liga,26,38.0,664,413,319,269,76,295,676,43.6,381,393,84,309,368,1032,666,5
22, Chelsea,eng Premier League,32,38.0,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21
23, Clermont Foot,fr Ligue 1,28,38.0,685,398,350,250,85,351,779,45.1,428,424,126,298,440,1125,571,17
24, Cremonese,it Serie A,33,38.0,704,400,403,228,73,364,729,49.9,365,432,136,296,393,1097,771,13
25, Crystal Palace,eng Premier League,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7
26, Dortmund,de Bundesliga,30,34.0,580,334,246,241,93,287,551,52.1,264,382,95,287,298,878,491,9
27, Eint Frankfurt,de Bundesliga,28,34.0,562,357,244,248,70,265,585,45.3,320,415,88,327,284,846,687,5
28, Elche,es La Liga,32,38.0,633,363,367,212,54,280,603,46.4,323,413,131,282,323,956,766,13
29, Empoli,it Serie A,32,38.0,606,364,316,218,72,254,538,47.2,284,449,183,266,280,886,910,4
30, Espanyol,es La Liga,33,38.0,652,379,330,239,83,301,600,50.2,299,416,134,282,338,990,788,9
31, Everton,eng Premier League,28,38.0,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17
32, Fiorentina,it Serie A,30,38.0,581,337,232,260,89,282,531,53.1,249,356,84,272,260,841,473,11
33, Freiburg,de Bundesliga,27,34.0,498,289,223,211,64,207,450,46.0,243,375,106,269,325,823,612,10
34, Fulham,eng Premier League,29,38.0,625,350,295,229,101,299,585,51.1,286,455,125,330,340,965,749,15
35, Getafe,es La Liga,25,38.0,541,339,282,199,60,285,619,46.0,334,404,113,291,320,861,794,10
36, Girona,es La Liga,29,38.0,551,321,271,213,67,244,532,45.9,288,379,111,268,266,817,662,20
37, Hellas Verona,it Serie A,36,38.0,605,357,319,228,58,296,562,52.7,266,445,143,302,337,942,745,12
38, Hertha BSC,de Bundesliga,32,34.0,576,344,307,215,54,251,521,48.2,270,416,132,284,366,942,797,8
39, Hoffenheim,de Bundesliga,31,34.0,543,323,254,231,58,236,474,49.8,238,428,119,309,285,828,665,8
40, Inter,it Serie A,25,38.0,572,325,247,241,84,258,523,49.3,265,385,110,275,315,887,541,7
41, Juventus,it Serie A,29,38.0,594,352,296,219,79,288,558,51.6,270,421,131,290,307,901,704,10
42, Köln,de Bundesliga,27,34.0,615,370,287,263,65,310,666,46.5,356,423,99,324,372,987,716,5
43, Lazio,it Serie A,24,38.0,582,349,261,234,87,277,625,44.3,348,437,126,311,310,892,606,8
44, Lecce,it Serie A,29,38.0,705,427,347,259,99,319,619,51.5,300,486,112,374,368,1073,826,4
45, Leeds United,eng Premier League,29,38.0,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18
46, Leicester City,eng Premier League,28,38.0,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,12
47, Lens,fr Ligue 1,29,38.0,540,323,225,238,77,262,570,46.0,308,401,112,289,339,879,559,7
48, Leverkusen,de Bundesliga,27,34.0,494,280,242,206,46,236,421,56.1,185,358,99,259,294,788,599,12
49, Lille,fr Ligue 1,26,38.0,635,370,266,265,104,314,658,47.7,344,390,74,316,301,936,543,13
50, Liverpool,eng Premier League,28,38.0,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,20
51, Lorient,fr Ligue 1,30,38.0,736,420,409,244,83,315,690,45.7,375,484,141,343,369,1105,849,17
52, Lyon,fr Ligue 1,29,38.0,723,423,306,282,135,367,771,47.6,404,433,107,326,481,1204,542,12
53, M'Gladbach,de Bundesliga,27,34.0,497,275,274,171,52,267,536,49.8,269,405,104,301,267,764,728,7
54, Mainz 05,de Bundesliga,27,34.0,547,341,268,206,73,270,559,48.3,289,419,98,321,433,980,673,9
55, Mallorca,es La Liga,31,38.0,583,344,318,213,52,283,581,48.7,298,402,146,256,318,901,859,7
56, Manchester City,eng Premier League,24,38.0,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9
57, Manchester Utd,eng Premier League,26,38.0,658,400,343,231,84,301,598,50.3,297,496,146,350,352,1010,771,11
58, Marseille,fr Ligue 1,30,38.0,685,404,271,304,110,301,591,50.9,290,366,101,265,420,1105,570,11
59, Milan,it Serie A,30,38.0,690,422,327,295,68,300,563,53.3,263,387,126,261,289,979,542,9
60, Monaco,fr Ligue 1,27,38.0,696,400,284,310,102,323,701,46.1,378,459,120,339,426,1122,549,14
61, Montpellier,fr Ligue 1,31,38.0,684,413,362,249,73,361,745,48.5,384,448,121,327,404,1088,686,9
62, Monza,it Serie A,31,38.0,595,355,323,214,58,260,551,47.2,291,380,120,260,334,929,661,13
63, Nantes,fr Ligue 1,29,38.0,709,431,367,249,93,367,730,50.3,363,427,107,320,431,1140,731,8
64, Napoli,it Serie A,27,38.0,569,313,236,227,106,255,521,48.9,266,374,96,278,287,856,490,7
65, Newcastle Utd,eng Premier League,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10
66, Nice,fr Ligue 1,34,38.0,818,467,415,295,108,382,680,56.2,298,419,115,304,413,1231,588,9
67, Nott'ham Forest,eng Premier League,33,38.0,659,387,380,201,78,296,584,50.7,288,500,156,344,349,1008,944,7
68, Osasuna,es La Liga,26,38.0,534,328,256,196,82,266,588,45.2,322,392,97,295,315,849,749,10
69, Paris S-G,fr Ligue 1,26,38.0,612,362,253,255,104,339,693,48.9,354,378,109,269,296,908,432,20
70, Rayo Vallecano,es La Liga,28,38.0,636,393,262,276,98,281,664,42.3,383,428,92,336,309,945,680,11
71, RB Leipzig,de Bundesliga,25,34.0,534,312,237,231,66,253,512,49.4,259,428,94,334,310,844,552,3
72, Real Madrid,es La Liga,26,38.0,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5
73, Real Sociedad,es La Liga,30,38.0,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13
74, Reims,fr Ligue 1,34,38.0,703,407,338,259,106,339,747,45.4,408,468,127,341,397,1100,633,15
75, Rennes,fr Ligue 1,32,38.0,600,335,255,251,94,289,616,46.9,327,392,91,301,341,941,587,10
76, Roma,it Serie A,30,38.0,624,340,301,257,66,289,617,46.8,328,392,113,279,368,992,590,9
77, Salernitana,it Serie A,30,38.0,587,337,309,220,58,259,569,45.5,310,409,157,252,329,916,740,13
78, Sampdoria,it Serie A,40,38.0,589,351,290,240,59,261,558,46.8,297,428,152,276,317,906,688,7
79, Sassuolo,it Serie A,31,38.0,502,281,237,186,79,216,461,46.9,245,371,122,249,278,780,658,16
80, Schalke 04,de Bundesliga,35,34.0,542,329,240,246,56,253,551,45.9,298,397,110,287,306,848,723,12
81, Sevilla,es La Liga,35,38.0,587,367,261,230,96,281,591,47.5,310,361,127,234,339,926,633,9
82, Southampton,eng Premier League,36,38.0,713,426,377,279,57,297,611,48.6,314,542,165,377,428,1141,852,11
83, Spezia,it Serie A,34,38.0,622,359,290,236,96,254,569,44.6,315,457,161,296,301,923,830,7
84, Strasbourg,fr Ligue 1,29,38.0,690,409,316,284,90,344,666,51.7,322,423,98,325,437,1127,688,5
85, Stuttgart,de Bundesliga,30,34.0,528,316,255,207,66,268,524,51.1,256,421,113,308,308,836,666,10
86, Torino,it Serie A,28,38.0,473,265,231,187,55,199,367,54.2,168,337,110,227,292,765,627,9
87, Tottenham,eng Premier League,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20
88, Toulouse,fr Ligue 1,29,38.0,716,406,349,264,103,368,842,43.7,474,476,138,338,409,1125,656,15
89, Troyes,fr Ligue 1,32,38.0,608,361,333,207,68,272,606,44.9,334,416,144,272,398,1006,779,5
90, Udinese,it Serie A,30,38.0,651,365,363,228,60,326,632,51.6,306,437,128,309,314,965,712,8
91, Union Berlin,de Bundesliga,28,34.0,494,278,217,216,61,239,525,45.5,286,356,101,255,262,756,704,6
92, Valencia,es La Liga,28,38.0,678,430,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21
93, Valladolid,es La Liga,36,38.0,671,396,334,251,86,296,628,47.1,332,432,149,283,345,1016,767,8
94, Villarreal,es La Liga,32,38.0,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16
95, Werder Bremen,de Bundesliga,25,34.0,595,349,269,273,53,300,617,48.6,317,371,103,268,321,916,789,7
96, West Ham,eng Premier League,25,38.0,608,336,290,226,92,270,562,48.0,292,415,139,276,408,1016,810,10
97, Wolfsburg,de Bundesliga,28,34.0,543,324,255,206,82,265,521,50.9,256,443,116,327,292,835,701,9
98, Wolves,eng Premier League,32,38.0,661,370,364,222,75,286,609,47.0,323,497,175,322,279,940,817,19
1, Ajaccio,fr Ligue 1,37,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2, Almería,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3, Arsenal,eng Premier League,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4, Aston Villa,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5, Atalanta,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6, Athletic Club,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7, Atlético Madrid,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8, Augsburg,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9, Barcelona,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10, Bastia,fr Ligue 1,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11, Bayern Munich,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
12, Betis,es La Liga,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
13, Bologna,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
14, Bordeaux,fr Ligue 1,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
15, Braunschweig,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
16, Cagliari,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
17, Cardiff City,eng Premier League,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
18, Catania,it Serie A,34,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
19, Celta Vigo,es La Liga,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
20, Chelsea,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
21, Chievo,it Serie A,36,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
22, Crystal Palace,eng Premier League,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
