Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
12, vs Betis,es La Liga,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
13, vs Bologna,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
14, vs Bordeaux,fr Ligue 1,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
15, vs Braunschweig,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
16, vs Cagliari,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
17, vs Cardiff City,eng Premier League,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
18, vs Catania,it Serie A,34,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
19, vs Celta Vigo,es La Liga,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
20, vs Chelsea,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
21, vs Chievo,it Serie A,36,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
22, vs Crystal Palace,eng Premier League,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
23, vs Dortmund,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
24, vs Eint Frankfurt,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
25, vs Elche,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
26, vs Espanyol,es La Liga,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
27, vs Everton,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
28, vs Evian,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
29, vs Fiorentina,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
30, vs Freiburg,de Bundesliga,30,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
31, vs Fulham,eng Premier League,39,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
32, vs Genoa,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
33, vs Getafe,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
34, vs Granada,es La Liga,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
35, vs Guingamp,fr Ligue 1,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
36, vs Hamburger SV,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
37, vs Hannover 96,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
38, vs Hellas Verona,it Serie A,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
39, vs Hertha BSC,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
40, vs Hoffenheim,de Bundesliga,25,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
41, vs Hull City,eng Premier League,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
42, vs Inter,it Serie A,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
43, vs Juventus,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
44, vs Lazio,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
45, vs Levante,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
46, vs Leverkusen,de Bundesliga,24,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
47, vs Lille,fr Ligue 1,22,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
48, vs Liverpool,eng Premier League,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
49, vs Livorno,it Serie A,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
50, vs Lorient,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
51, vs Lyon,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
52, vs M'Gladbach,de Bundesliga,21,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
53, vs Mainz 05,de Bundesliga,28,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
54, vs Málaga,es La Liga,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
55, vs Manchester City,eng Premier League,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
56, vs Manchester Utd,eng Premier League,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
57, vs Marseille,fr Ligue 1,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
58, vs Milan,it Serie A,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
59, vs Monaco,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
60, vs Montpellier,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
61, vs Nantes,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
62, vs Napoli,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
63, vs Newcastle Utd,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
64, vs Nice,fr Ligue 1,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
65, vs Norwich City,eng Premier League,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
66, vs Nürnberg,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
67, vs Osasuna,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
68, vs Paris S-G,fr Ligue 1,23,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
69, vs Parma,it Serie A,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
70, vs Rayo Vallecano,es La Liga,30,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
71, vs Real Madrid,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
72, vs Real Sociedad,es La Liga,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
73, vs Reims,fr Ligue 1,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
74, vs Rennes,fr Ligue 1,32,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
75, vs Roma,it Serie A,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
76, vs Saint-Étienne,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
77, vs Sampdoria,it Serie A,33,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
78, vs Sassuolo,it Serie A,38,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
79, vs Schalke 04,de Bundesliga,30,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
80, vs Sevilla,es La Liga,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
81, vs Sochaux,fr Ligue 1,36,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
82, vs Southampton,eng Premier League,24,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
83, vs Stoke City,eng Premier League,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
84, vs Stuttgart,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
85, vs Sunderland,eng Premier League,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
86, vs Swansea City,eng Premier League,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
87, vs Torino,it Serie A,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
88, vs Tottenham,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
89, vs Toulouse,fr Ligue 1,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
90, vs Udinese,it Serie A,27,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
91, vs Valencia,es La Liga,31,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
92, vs Valenciennes,fr Ligue 1,26,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
93, vs Valladolid,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
94, vs Villarreal,es La Liga,25,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
95, vs Werder Bremen,de Bundesliga,27,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
96, vs West Brom,eng Premier League,28,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
97, vs West Ham,eng Premier League,29,38.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
98, vs Wolfsburg,de Bundesliga,26,34.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
1, vs Alavés,es La Liga,28,27.0,11435,14242,80.3,200024,71732,5233,5886,88.9,4786,5559,86.1,1110,2106,52.7,19,20.7,24.8,-1.7,245,872,195,59,1061
2, vs Almería,es La Liga,33,27.0,10649,13433,79.3,186360,70534,5023,5655,88.8,4289,5032,85.2,1041,1997,52.1,38,31.5,33.3,+6.5,320,888,246,75,1143
3, vs Arsenal,eng Premier League,25,27.0,8238,10685,77.1,144597,51637,3856,4374,88.2,3389,3957,85.6,794,1765,45.0,18,13.6,12.9,+4.4,163,562,106,20,596
4, vs Aston Villa,eng Premier League,28,27.0,9218,11582,79.6,158723,57886,4439,4935,89.9,3701,4303,86.0,837,1634,51.2,29,32.9,25.0,-3.9,231,630,181,35,807
5, vs Atalanta,it Serie A,28,27.0,11123,13976,79.6,193933,69943,5086,5693,89.3,4639,5387,86.1,1092,2113,51.7,21,18.6,16.3,+2.4,218,746,150,40,824
6, vs Athletic Club,es La Liga,25,27.0,10393,13399,77.6,187824,68378,4520,5229,86.4,4514,5300,85.2,1084,2103,51.5,20,21.2,18.9,-1.2,195,668,163,48,874
7, vs Atlético Madrid,es La Liga,25,27.0,11692,14250,82.0,203561,69204,5491,6077,90.4,4866,5501,88.5,1086,1975,55.0,20,20.4,23.1,-0.4,255,959,206,60,1075
8, vs Augsburg,de Bundesliga,26,24.0,10540,13233,79.6,187824,69890,4753,5439,87.4,4458,5199,85.7,1093,1940,56.3,25,24.5,28.3,+0.5,260,768,230,53,997
9, vs Barcelona,es La Liga,28,27.0,7144,9551,74.8,127869,54102,3395,3910,86.8,2681,3219,83.3,843,1775,47.5,28,21.7,21.2,+6.3,220,571,186,51,709
10, vs Bayern Munich,de Bundesliga,27,24.0,8066,10231,78.8,141113,54031,3693,4196,88.0,3361,3928,85.6,782,1481,52.8,19,13.7,16.9,+5.3,169,543,136,32,662
11, vs Betis,es La Liga,35,27.0,10679,13391,79.7,183247,68922,5300,5938,89.3,4162,4838,86.0,990,1867,53.0,15,23.8,23.7,-8.8,238,830,195,65,1029
12, vs Bochum,de Bundesliga,25,24.0,9256,12337,75.0,166689,66495,4107,4878,84.2,3898,4742,82.2,1026,2014,50.9,36,33.4,36.6,+2.6,290,647,229,56,953
13, vs Bologna,it Serie A,26,27.0,9400,11865,79.2,164369,57771,4210,4816,87.4,4063,4723,86.0,874,1650,53.0,15,15.7,17.5,-0.7,204,769,180,60,927
14, vs Bournemouth,eng Premier League,27,26.0,11396,14164,80.5,193258,72899,5553,6272,88.5,4600,5345,86.1,984,1838,53.5,31,27.5,30.9,+3.5,280,777,243,50,1071
15, vs Brentford,eng Premier League,28,27.0,12085,14966,80.7,197585,68146,6183,6885,89.8,4556,5327,85.5,966,1903,50.8,40,33.2,29.5,+6.8,304,1087,301,61,1146
16, vs Brest,fr Ligue 1,23,24.0,8445,10877,77.6,149836,60327,3600,4281,84.1,3703,4420,83.8,834,1541,54.1,14,18.9,21.4,-4.9,180,667,164,37,939
17, vs Brighton,eng Premier League,27,27.0,8782,11199,78.4,153644,55832,4031,4528,89.0,3716,4315,86.1,818,1751,46.7,29,25.5,21.9,+3.5,225,626,197,32,793
18, vs Burnley,eng Premier League,30,27.0,11998,14886,80.6,206552,68229,5530,6258,88.4,5162,5915,87.3,1015,1959,51.8,43,34.7,30.9,+8.3,312,810,290,63,1070
19, vs Cádiz,es La Liga,32,27.0,10895,13874,78.5,186771,71844,5337,6090,87.6,4217,5068,83.2,1046,1966,53.2,26,28.8,28.4,-2.8,263,972,232,64,1222
20, vs Cagliari,it Serie A,28,27.0,11684,14462,80.8,206904,74169,5253,5852,89.8,4954,5728,86.5,1184,2138,55.4,35,29.9,26.2,+5.1,269,907,236,65,1114
21, vs Celta Vigo,es La Liga,28,27.0,12146,15152,80.2,213889,73564,5563,6234,89.2,5115,5965,85.8,1176,2189,53.7,24,24.5,26.7,-0.5,244,935,206,74,1119
22, vs Chelsea,eng Premier League,30,26.0,8841,11233,78.7,154037,56918,4140,4689,88.3,3622,4249,85.2,857,1673,51.2,27,27.2,22.7,-0.2,265,664,205,57,909
23, vs Clermont Foot,fr Ligue 1,27,24.0,10159,12527,81.1,182240,65602,4262,4961,85.9,4537,5176,87.7,1044,1776,58.8,27,31.6,33.4,-4.6,290,854,253,73,1107
24, vs Crystal Palace,eng Premier League,26,27.0,13819,16612,83.2,233661,76281,6668,7374,90.4,5735,6489,88.4,1092,1967,55.5,39,30.2,27.2,+8.8,257,1089,282,68,1275
25, vs Darmstadt 98,de Bundesliga,31,24.0,9999,12468,80.2,172680,65001,4589,5190,88.4,4319,5005,86.3,860,1648,52.2,47,39.4,33.9,+7.6,295,746,206,56,958
26, vs Dortmund,de Bundesliga,31,24.0,7949,10439,76.1,139483,56171,3629,4211,86.2,3289,3964,83.0,804,1577,51.0,18,22.3,26.5,-4.3,223,622,183,50,899
27, vs Eint Frankfurt,de Bundesliga,32,24.0,9766,12529,77.9,176915,65283,4137,4769,86.7,4302,5067,84.9,1074,1920,55.9,22,24.6,28.6,-2.6,221,735,200,57,967
28, vs Empoli,it Serie A,34,27.0,11047,13816,80.0,203023,70657,4731,5394,87.7,4822,5564,86.7,1263,2182,57.9,27,23.4,23.9,+3.6,301,834,238,81,1105
29, vs Everton,eng Premier League,25,27.0,13688,16644,82.2,233471,79753,6401,7151,89.5,5776,6568,87.9,1149,2090,55.0,23,25.1,23.9,-2.1,284,920,240,56,1158
30, vs Fiorentina,it Serie A,28,27.0,8168,10746,76.0,146734,58862,3611,4222,85.5,3473,4132,84.1,875,1742,50.2,19,20.7,16.8,-1.7,201,454,153,49,693
31, vs Freiburg,de Bundesliga,25,24.0,10789,13301,81.1,187477,66986,4707,5350,88.0,4925,5619,87.6,881,1637,53.8,35,28.4,33.4,+6.6,269,786,220,53,947
32, vs Frosinone,it Serie A,34,27.0,9620,12435,77.4,175091,64580,4114,4781,86.0,4136,4890,84.6,1101,2054,53.6,37,28.4,25.5,+8.6,317,733,239,70,987
33, vs Fulham,eng Premier League,25,27.0,11775,14471,81.4,199083,68553,5608,6293,89.1,4922,5623,87.5,944,1787,52.8,23,31.0,29.3,-8.0,279,862,239,45,1104
34, vs Genoa,it Serie A,31,27.0,11866,14572,81.4,206787,68115,5413,6057,89.4,5027,5783,86.9,1131,1964,57.6,24,17.9,21.0,+6.1,238,862,205,63,1123
35, vs Getafe,es La Liga,28,27.0,10908,14049,77.6,188017,72063,5171,5869,88.1,4384,5232,83.8,1023,2134,47.9,27,28.5,25.2,-1.5,255,815,206,50,975
36, vs Girona,es La Liga,23,27.0,9380,11720,80.0,167409,63671,4313,4821,89.5,3826,4458,85.8,1007,1827,55.1,23,26.0,27.4,-3.0,270,767,223,77,904
37, vs Granada,es La Liga,36,26.0,10579,13210,80.1,186147,67851,4959,5508,90.0,4300,4991,86.2,1061,1999,53.1,38,29.7,26.1,+8.3,256,906,208,51,995
38, vs Heidenheim,de Bundesliga,21,24.0,11164,13974,79.9,200969,76372,4826,5520,87.4,4933,5728,86.1,1161,2038,57.0,25,30.3,35.4,-5.3,283,905,232,54,1141
39, vs Hellas Verona,it Serie A,34,27.0,10362,13265,78.1,189919,69950,4236,4865,87.1,4773,5617,85.0,1130,2148,52.6,27,25.1,21.6,+1.9,267,712,188,45,964
40, vs Hoffenheim,de Bundesliga,27,24.0,9608,12221,78.6,171604,64636,4331,4978,87.0,3999,4713,84.9,1042,1874,55.6,32,27.9,33.0,+4.1,294,812,225,59,1039
41, vs Inter,it Serie A,26,27.0,9854,12078,81.6,179157,59042,4218,4727,89.2,4274,4857,88.0,1124,1869,60.1,10,14.5,15.2,-4.5,210,729,174,59,867
42, vs Juventus,it Serie A,27,27.0,11664,14074,82.9,206271,64568,5098,5656,90.1,5042,5710,88.3,1193,2010,59.4,13,15.1,17.5,-2.1,240,939,171,56,981
43, vs Köln,de Bundesliga,26,24.0,11255,13809,81.5,198947,70697,4889,5530,88.4,5027,5759,87.3,1074,1794,59.9,26,33.3,33.7,-7.3,258,781,214,46,1010
44, vs Las Palmas,es La Liga,28,27.0,8231,11053,74.5,147102,59853,3880,4505,86.1,3176,3841,82.7,935,1926,48.5,21,28.6,27.1,-7.6,241,689,174,60,865
45, vs Lazio,it Serie A,21,27.0,11513,13972,82.4,208500,67809,4712,5267,89.5,5358,5979,89.6,1145,2005,57.1,19,20.6,18.2,-1.6,256,652,176,60,848
46, vs Le Havre,fr Ligue 1,26,24.0,11495,13815,83.2,207431,68097,4659,5309,87.8,5353,6033,88.7,1133,1819,62.3,21,26.3,27.5,-5.3,249,838,212,54,1131
47, vs Lecce,it Serie A,26,27.0,10984,13750,79.9,192092,70990,4886,5527,88.4,4772,5540,86.1,1018,1894,53.7,31,30.7,29.7,+0.3,276,789,225,55,1068
48, vs Lens,fr Ligue 1,26,24.0,9391,11639,80.7,167898,58508,3877,4461,86.9,4251,4861,87.5,943,1701,55.4,15,22.1,21.4,-7.1,206,611,157,33,848
49, vs Leverkusen,de Bundesliga,24,24.0,8395,10653,78.8,148711,55062,3741,4237,88.3,3627,4237,85.6,829,1641,50.5,13,15.2,18.3,-2.2,150,567,129,26,672
50, vs Lille,fr Ligue 1,27,24.0,8259,10394,79.5,154800,53120,3162,3702,85.4,3895,4472,87.1,973,1707,57.0,13,16.4,16.6,-3.4,152,534,131,35,773
51, vs Liverpool,eng Premier League,29,27.0,8401,11146,75.4,142427,55523,4117,4757,86.5,3261,3973,82.1,755,1706,44.3,16,22.6,19.0,-6.6,213,600,179,33,853
52, vs Lorient,fr Ligue 1,39,24.0,11522,13811,83.4,203873,64798,4870,5458,89.2,5171,5807,89.0,1097,1870,58.7,34,25.0,28.6,+9.0,287,1093,240,66,1200
53, vs Luton Town,eng Premier League,24,26.0,11775,14603,80.6,199596,70815,5564,6225,89.4,4889,5625,86.9,972,1957,49.7,35,38.1,33.6,-3.1,318,884,249,61,1050
54, vs Lyon,fr Ligue 1,35,24.0,9776,12000,81.5,170165,59617,4347,4946,87.9,4193,4808,87.2,890,1657,53.7,25,28.0,22.9,-3.0,237,879,176,45,965
55, vs M'Gladbach,de Bundesliga,27,24.0,11158,13692,81.5,193819,67509,5056,5685,88.9,4808,5500,87.4,1013,1785,56.8,34,28.4,37.1,+5.6,307,941,269,74,1134
56, vs Mainz 05,de Bundesliga,30,24.0,9899,12811,77.3,173293,62150,4494,5279,85.1,4283,5061,84.6,898,1802,49.8,30,22.0,24.5,+8.0,214,726,173,49,819
57, vs Mallorca,es La Liga,23,27.0,10886,13716,79.4,185949,66762,5290,5979,88.5,4266,5022,84.9,1027,2007,51.2,24,22.4,26.7,+1.6,253,911,218,65,1052
58, vs Manchester City,eng Premier League,25,27.0,8087,10241,79.0,142737,53135,3692,4196,88.0,3371,3893,86.6,822,1578,52.1,20,18.9,14.2,+1.1,162,459,132,28,564
59, vs Manchester Utd,eng Premier League,30,27.0,11101,13746,80.8,192515,67423,5111,5673,90.1,4702,5476,85.9,996,1845,54.0,28,35.2,28.7,-7.2,343,795,252,41,1091
60, vs Marseille,fr Ligue 1,31,24.0,8822,11000,80.2,159521,56818,3727,4310,86.5,3851,4460,86.3,977,1685,58.0,17,16.5,17.1,+0.5,194,632,171,38,889
61, vs Metz,fr Ligue 1,30,24.0,12741,15119,84.3,218352,73520,5724,6413,89.3,5565,6254,89.0,1056,1727,61.1,24,25.4,29.2,-1.4,262,1123,235,59,1351
62, vs Milan,it Serie A,33,27.0,9395,11619,80.9,166223,61752,4250,4763,89.2,3890,4496,86.5,994,1721,57.8,22,20.6,18.8,+1.4,269,732,182,50,937
63, vs Monaco,fr Ligue 1,27,24.0,8787,11259,78.0,156608,58931,3817,4436,86.0,3721,4413,84.3,932,1755,53.1,19,20.1,19.8,-1.1,199,715,160,37,929
64, vs Montpellier,fr Ligue 1,29,24.0,10405,12802,81.3,182811,67518,4555,5209,87.4,4435,5122,86.6,1033,1792,57.6,18,23.2,25.5,-5.2,281,903,219,44,1192
65, vs Monza,it Serie A,30,27.0,9993,12152,82.2,175973,63440,4507,5069,88.9,4180,4799,87.1,1035,1669,62.0,22,27.1,23.5,-5.1,307,826,225,67,1019
66, vs Nantes,fr Ligue 1,35,24.0,11340,13681,82.9,204051,67999,4728,5344,88.5,5147,5853,87.9,1144,1872,61.1,23,25.5,27.4,-2.5,224,893,196,55,1122
67, vs Napoli,it Serie A,29,27.0,8012,10408,77.0,140688,54537,3661,4185,87.5,3296,3907,84.4,815,1672,48.7,25,21.7,18.3,+3.3,216,582,168,70,769
68, vs Newcastle Utd,eng Premier League,32,27.0,10390,12973,80.1,174525,59941,5141,5672,90.6,4115,4826,85.3,876,1805,48.5,33,35.0,28.0,-2.0,290,776,218,42,959
69, vs Nice,fr Ligue 1,26,24.0,9368,11554,81.1,167045,55232,3907,4417,88.5,4309,4860,88.7,872,1687,51.7,12,15.5,17.5,-3.5,174,712,162,43,803
70, vs Nott'ham Forest,eng Premier League,33,27.0,13547,16371,82.7,232250,76494,6291,7034,89.4,5819,6596,88.2,1122,1953,57.5,35,28.1,28.8,+6.9,254,1188,280,53,1405
